Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Level Error,Creation Mode,Status,Valid
"DisaggregatedData","monitoringSiteIdentifier","FC3","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","observedPropertyDeterminandCode","FC10","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","procedureAnalysedMatrix","FC12","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","phenomenonTimeSamplingDate","FC16","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","phenomenonTimeSamplingDate","FT17","Field type DATE","Checks if the field is a valid DATE","The value is not a valid date (YYYY-MM-DD)",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","sampleIdentifier","FC18","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultObservedValue","FT20","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid whole or decimal number",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","procedureLOQValue","FT25","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","parameterSampleDepth","FT26","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultMoisture","FT29","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultFat","FT30","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultExtractableLipid","FT31","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultLipid","FT32","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","monitoringSiteIdentifier","FC38","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","observedPropertyDeterminandCode","FC42","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","procedureAnalysedMatrix","FC44","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","phenomenonTimeReferenceYear","FC49","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","phenomenonTimeReferenceYear","FT50","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","procedureLOQValue","FT52","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultNumberOfSamples","FT53","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultNumberOfSamples","FC54","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultQualityNumberOfSamplesBelowLOQ","FT55","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultMinimumValue","FT57","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultMeanValue","FT62","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultMaximumValue","FT64","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultMedianValue","FT68","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultStandardDeviationValue","FT71","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","parameterSampleDepth","FT73","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","waterBodyIdentifier","FC77","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","observedPropertyDeterminandCode","FC82","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","procedureAnalysedMatrix","FC84","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","phenomenonTimeReferenceYear","FC88","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","phenomenonTimeReferenceYear","FT89","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","procedureLOQValue","FT91","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultNumberOfSamples","FC92","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
